date,day_of_week,workout_type,exercise_raw,exercise_standard,weight_raw,weight_lbs,reps,set_number,volume,has_extender,machine_position,is_synthetic,notes
2024-04-02,Tuesday,Legs,Atlantis abductor,Atlantis Abductor,260,260.0,5.0,2,1300.0,False,,False,
2024-04-03,Wednesday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),322.5,322.5,6.0,1,1935.0,False,,False,paused
2024-04-03,Wednesday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),317.5,317.5,6.0,2,1905.0,False,,False,paused
2024-04-03,Wednesday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),297.5,297.5,9.0,3,2677.5,False,,False,paused
2024-04-03,Wednesday,Chest and arms,Cybex preacher curls,Cybex Preacher Curl,62.5,62.5,7.0,1,437.5,False,,False,
2024-04-03,Wednesday,Chest and arms,Cybex preacher curls,Cybex Preacher Curl,55,55.0,8.0,2,440.0,False,,False,
2024-04-03,Wednesday,Chest and arms,Flex incline fly,Flex Incline Fly,70,70.0,10.0,1,700.0,False,,False,
2024-04-03,Wednesday,Chest and arms,Flex incline fly,Flex Incline Fly,70,70.0,10.0,2,700.0,False,,False,
2024-04-03,Wednesday,Chest and arms,Flex incline fly,Flex Incline Fly,60,60.0,12.0,3,720.0,False,,False,
2024-04-03,Wednesday,Chest and arms,Cybex pushdown,Cybex Tricep Pushdown,150,150.0,11.0,1,1650.0,False,,False,
2024-04-03,Wednesday,Chest and arms,Cybex pushdown,Cybex Tricep Pushdown,140,140.0,10.0,2,1400.0,False,,False,
2024-04-03,Wednesday,Chest and arms,Super ROM Icarian lateral,Icarian Lateral Raise (Super ROM),60,60.0,13.0,1,780.0,False,,False,
2024-04-03,Wednesday,Chest and arms,Super ROM Icarian lateral,Icarian Lateral Raise (Super ROM),65,65.0,10.0,2,650.0,False,,False,
2024-04-03,Wednesday,Chest and arms,Super ROM Icarian lateral,Icarian Lateral Raise (Super ROM),60,60.0,8.0,3,480.0,False,,False,
2024-04-03,Wednesday,Chest and arms,EZ bar skulls,EZ Bar Skull Crusher,15,15.0,12.0,1,180.0,False,,False,
2024-04-04,Thursday,Back,DLs,Deadlift,410,410.0,5.0,1,2050.0,False,,False,
2024-04-04,Thursday,Back,SWG Pulldown,Supinated Wide Grip Pulldown,125,125.0,10.0,1,1250.0,False,,False,
2024-04-04,Thursday,Back,SWG Pulldown,Supinated Wide Grip Pulldown,115,115.0,10.0,2,1150.0,False,,False,
2024-04-04,Thursday,Back,Strive row,Strive Row,190,190.0,8.0,1,1520.0,False,,False,
2024-04-04,Thursday,Back,Strive row,Strive Row,190,190.0,8.0,2,1520.0,False,,False,
2024-04-04,Thursday,Back,NG pull ups,Neutral Grip Pull-up,117.5,117.5,5.0,1,587.5,False,,False,
2024-04-04,Thursday,Back,NG pull ups,Neutral Grip Pull-up,BW,185.0,11.0,2,2035.0,False,,False,bodyweight
2024-04-05,Friday,Bro day,EZ bar curls,EZ Bar Curl,137.5,137.5,3.0,1,412.5,False,,False,
2024-04-05,Friday,Bro day,EZ bar curls,EZ Bar Curl,135,135.0,3.0,2,405.0,False,,False,
2024-04-05,Friday,Bro day,Natilus Trcp pushdown,Nautilus Tricep Pushdown,62.5,62.5,18.0,1,1125.0,False,,False,
2024-04-05,Friday,Bro day,Natilus Trcp pushdown,Nautilus Tricep Pushdown,55,55.0,18.0,2,990.0,False,,False,
2024-04-05,Friday,Bro day,+JM press,JM Press (Paused),135,135.0,6.0,1,810.0,False,,False,paused
2024-04-05,Friday,Bro day,Upright row,Upright Row,45,45.0,8.0,1,360.0,False,,False,
2024-04-05,Friday,Bro day,Upright row,Upright Row,45,45.0,8.0,2,360.0,False,,False,
2024-04-05,Friday,Bro day,Upright row,Upright Row,45,45.0,8.0,3,360.0,False,,False,
2024-04-06,Saturday,Upper,+HS incline chest press,Hammer Strength Incline Chest Press (Paused),297.5,297.5,5.0,1,1487.5,False,,False,paused
2024-04-06,Saturday,Upper,+HS incline chest press,Hammer Strength Incline Chest Press (Paused),292.5,292.5,5.0,2,1462.5,False,,False,paused
2024-04-06,Saturday,Upper,+HS incline chest press,Hammer Strength Incline Chest Press (Paused),202.5,202.5,27.5,3,5568.75,False,,False,paused
2024-04-06,Saturday,Upper,Natilus pulldown,Nautilus Pulldown,322.5,322.5,9.0,1,2902.5,False,,False,
2024-04-06,Saturday,Upper,Natilus pulldown,Nautilus Pulldown,312.5,312.5,10.0,2,3125.0,False,,False,
2024-04-06,Saturday,Upper,Super ROM Dips,Super ROM Dip,1P,,8.0,1,,False,,False,
2024-04-06,Saturday,Upper,Super ROM Dips,Super ROM Dip,32.5,32.5,9.0,2,292.5,False,,False,
2024-04-06,Saturday,Upper,Super ROM Dips,Super ROM Dip,+10,10.0,9.0,3,90.0,False,,False,
2024-04-06,Saturday,Upper,Cybex eagle row,Cybex Eagle Row,227.1,227.1,10.0,1,2271.0,False,,False,
2024-04-06,Saturday,Upper,Cybex eagle row,Cybex Eagle Row,227.1,227.1,10.0,2,2271.0,False,,False,
2024-04-06,Saturday,Upper,Trcp OVH ext machine,Tricep Overhead Extension Machine,235,235.0,8.0,1,1880.0,False,,False,
2024-04-06,Saturday,Upper,Trcp OVH ext machine,Tricep Overhead Extension Machine,+190,190.0,10.0,2,1900.0,False,,False,
2024-04-06,Saturday,Upper,Bayesian curls,Bayesian Curl,80,80.0,9.0,1,720.0,False,,False,
2024-04-06,Saturday,Upper,Bayesian curls,Bayesian Curl,100,100.0,12.0,2,1200.0,False,,False,
2024-04-07,Sunday,Legs,Cybex hack,Cybex Hack Squat,382.5,382.5,5.0,1,1912.5,False,,False,
2024-04-07,Sunday,Legs,Cybex hack,Cybex Hack Squat,302.5,302.5,7.0,2,2117.5,False,,False,
2024-04-07,Sunday,Legs,BB rows,Barbell Row,245,245.0,5.0,1,1225.0,False,,False,
2024-04-07,Sunday,Legs,Strive Leg extensions,Strive Leg Extension,210,210.0,,1,,False,,False,
2024-04-07,Sunday,Legs,Strive Leg extensions,Strive Leg Extension,190,190.0,6.0,2,1140.0,False,,False,
2024-04-07,Sunday,Legs,Atlantis abductor,Atlantis Abductor,265,265.0,7.0,1,1855.0,False,,False,
2024-04-08,Monday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),322.5,322.5,7.0,1,2257.5,False,,False,paused
2024-04-08,Monday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),317.5,317.5,7.0,2,2222.5,False,,False,paused
2024-04-08,Monday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),297.5,297.5,10.0,3,2975.0,False,,False,paused
2024-04-08,Monday,Chest and arms,Cybex preacher,Cybex Preacher Curl,75,75.0,5.0,1,375.0,False,,False,
2024-04-08,Monday,Chest and arms,Cybex preacher,Cybex Preacher Curl,65,65.0,6.0,2,390.0,False,,False,
2024-04-08,Monday,Chest and arms,Cybex preacher,Cybex Preacher Curl,57.5,57.5,7.0,3,402.5,False,,False,
2024-04-08,Monday,Chest and arms,Incline chest fly,Incline Fly,75,75.0,12.0,1,900.0,False,,False,
2024-04-08,Monday,Chest and arms,Incline chest fly,Incline Fly,80,80.0,8.0,2,640.0,False,,False,
2024-04-08,Monday,Chest and arms,Incline chest fly,Incline Fly,70,70.0,12.0,3,840.0,False,,False,
2024-04-08,Monday,Chest and arms,Cybex pushdown,Cybex Tricep Pushdown,150,150.0,12.0,1,1800.0,False,,False,
2024-04-08,Monday,Chest and arms,Cybex pushdown,Cybex Tricep Pushdown,140,140.0,11.0,2,1540.0,False,,False,
2024-04-08,Monday,Chest and arms,Cybex pushdown,Cybex Tricep Pushdown,130,130.0,9.0,3,1170.0,False,,False,
2024-04-08,Monday,Chest and arms,Super ROM Lateral raises,Lateral Raise (Super ROM),65,65.0,12.0,1,780.0,False,,False,
2024-04-08,Monday,Chest and arms,Super ROM Lateral raises,Lateral Raise (Super ROM),60,60.0,12.0,2,720.0,False,,False,
2024-04-10,Wednesday,Back,SWG Lat pull,Supinated Wide Grip Pulldown,125,125.0,11.0,1,1375.0,False,,False,
2024-04-10,Wednesday,Back,SWG Lat pull,Supinated Wide Grip Pulldown,115,115.0,11.0,2,1265.0,False,,False,
2024-04-10,Wednesday,Back,Strive row,Strive Row,210,210.0,8.0,1,1680.0,False,,False,
2024-04-10,Wednesday,Back,Strive row,Strive Row,190,190.0,10.0,2,1900.0,False,,False,
2024-04-10,Wednesday,Back,NG Pull ups,Neutral Grip Pull-up,120,120.0,5.0,1,600.0,False,,False,
2024-04-10,Wednesday,Back,NG Pull ups,Neutral Grip Pull-up,BW,185.0,12.0,2,2220.0,False,,False,bodyweight
2024-04-11,Thursday,Arms,EZ bars curls,EZ Bar Curl,137.5,137.5,3.0,1,412.5,False,,False,
2024-04-11,Thursday,Arms,EZ bars curls,EZ Bar Curl,135,135.0,4.0,2,540.0,False,,False,
2024-04-11,Thursday,Arms,EZ bars curls,EZ Bar Curl,37.5,37.5,7.0,3,262.5,False,,False,
2024-04-11,Thursday,Arms,Natilus Trcp pushdown,Nautilus Tricep Pushdown,62.5,62.5,19.0,1,1187.5,False,,False,
2024-04-11,Thursday,Arms,Natilus Trcp pushdown,Nautilus Tricep Pushdown,55,55.0,19.0,2,1045.0,False,,False,
2024-04-11,Thursday,Arms,Upright row,Upright Row,45,45.0,9.0,1,405.0,False,,False,
2024-04-11,Thursday,Arms,Upright row,Upright Row,25,25.0,15.0,2,375.0,False,,False,
2024-04-11,Thursday,Arms,+JM press,JM Press (Paused),140,140.0,5.0,1,700.0,False,,False,paused
2024-04-11,Thursday,Arms,+JM press,JM Press (Paused),135,135.0,7.0,2,945.0,False,,False,paused
2024-04-11,Thursday,Arms,Rope Hammer curls,Rope Hammer Curl,150,150.0,11.0,1,1650.0,False,,False,
2024-04-11,Thursday,Arms,Rope Hammer curls,Rope Hammer Curl,140,140.0,10.0,2,1400.0,False,,False,
2024-04-12,Friday,Upper,+Red Smith,Smith Press (Paused),147.5,147.5,3.0,1,442.5,False,,False,paused
2024-04-12,Friday,Upper,+Red Smith,Smith Press (Paused),137.5,137.5,5.0,2,687.5,False,,False,paused
2024-04-12,Friday,Upper,+Red Smith,Smith Press (Paused),137.5,137.5,5.0,3,687.5,False,,False,paused
2024-04-12,Friday,Upper,Natilus pulldown,Nautilus Pulldown,392.5,392.5,5.0,1,1962.5,False,,False,
2024-04-12,Friday,Upper,Natilus pulldown,Nautilus Pulldown,325,325.0,7.0,2,2275.0,False,,False,
2024-04-12,Friday,Upper,Natilus pulldown,Nautilus Pulldown,315,315.0,7.0,3,2205.0,False,,False,
2024-04-12,Friday,Upper,Super ROM Dips,Super ROM Dip,32.5,32.5,10.0,1,325.0,False,,False,
2024-04-12,Friday,Upper,Super ROM Dips,Super ROM Dip,+12.5,12.5,9.0,2,112.5,False,,False,
2024-04-12,Friday,Upper,Cybex SA row,Cybex Single Arm Row,228.2,228.2,12.0,1,2738.3999999999996,False,,False,
2024-04-12,Friday,Upper,Cybex SA row,Cybex Single Arm Row,112.5,112.5,10.0,2,1125.0,False,,False,
2024-04-12,Friday,Upper,Trcp OVH ext,Tricep Overhead Extension,235,235.0,8.0,1,1880.0,False,,False,
2024-04-12,Friday,Upper,Trcp OVH ext,Tricep Overhead Extension,+205,205.0,8.0,2,1640.0,False,,False,
2024-04-12,Friday,Upper,Trcp OVH ext,Tricep Overhead Extension,+190,190.0,11.0,3,2090.0,False,,False,
2024-04-12,Friday,Upper,Trcp OVH ext,Tricep Overhead Extension,175,175.0,12.0,4,2100.0,False,,False,
2024-04-12,Friday,Upper,Bayesian curls,Bayesian Curl,110,110.0,6.0,1,660.0,False,,False,
2024-04-12,Friday,Upper,Bayesian curls,Bayesian Curl,one,,7.0,2,,False,,False,
2024-04-12,Friday,Upper,Bayesian curls,Bayesian Curl,100,100.0,11.0,3,1100.0,False,,False,
2024-04-13,Saturday,Legs,Cybex hack,Cybex Hack Squat,385,385.0,4.0,1,1540.0,False,,False,
2024-04-13,Saturday,Legs,Cybex hack,Cybex Hack Squat,320,320.0,7.0,2,2240.0,False,,False,
2024-04-13,Saturday,Legs,Cybex hack,Cybex Hack Squat,305,305.0,5.0,3,1525.0,False,,False,
2024-04-13,Saturday,Legs,BB rows,Barbell Row,245,245.0,6.0,1,1470.0,False,,False,
2024-04-13,Saturday,Legs,BB rows,Barbell Row,235,235.0,6.0,2,1410.0,False,,False,
2024-04-13,Saturday,Legs,Strive Leg extensions,Strive Leg Extension,230,230.0,4.0,1,920.0,False,,False,
2024-04-13,Saturday,Legs,Strive Leg extensions,Strive Leg Extension,220,220.0,6.0,2,1320.0,False,,False,
2024-04-13,Saturday,Legs,Strive Leg extensions,Strive Leg Extension,210,210.0,7.0,3,1470.0,False,,False,
2024-04-13,Saturday,Legs,+Leg curls,Leg Curl (Paused),FS,,6.0,1,,False,,False,paused
2024-04-13,Saturday,Legs,Icarian Super ROM lateral,Icarian Lateral Raise (Super ROM),67.5,67.5,12.0,1,810.0,False,,False,
2024-04-13,Saturday,Legs,Icarian Super ROM lateral,Icarian Lateral Raise (Super ROM),70,70.0,10.0,2,700.0,False,,False,
2024-04-13,Saturday,Legs,Icarian Super ROM lateral,Icarian Lateral Raise (Super ROM),60,60.0,10.0,3,600.0,False,,False,
2024-04-14,Sunday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),327.5,327.5,5.0,1,1637.5,False,,False,paused
2024-04-14,Sunday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),317.5,317.5,6.0,2,1905.0,False,,False,paused
2024-04-14,Sunday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),302.5,302.5,7.0,3,2117.5,False,,False,paused
2024-04-14,Sunday,Chest and arms,SA Cybex preacher,Cybex Single Arm Preacher Curl,75,75.0,6.0,1,450.0,False,,False,
2024-04-14,Sunday,Chest and arms,SA Cybex preacher,Cybex Single Arm Preacher Curl,65,65.0,7.0,2,455.0,False,,False,
2024-04-14,Sunday,Chest and arms,SA Cybex preacher,Cybex Single Arm Preacher Curl,60,60.0,6.0,3,360.0,False,,False,
2024-04-14,Sunday,Chest and arms,Flex incline fly,Flex Incline Fly,80,80.0,11.0,1,880.0,False,,False,
2024-04-14,Sunday,Chest and arms,Flex incline fly,Flex Incline Fly,70,70.0,15.0,2,1050.0,False,,False,
2024-04-14,Sunday,Chest and arms,FG pushdown,Forward Grip Pushdown,150,150.0,13.0,1,1950.0,False,,False,
2024-04-14,Sunday,Chest and arms,FG pushdown,Forward Grip Pushdown,140,140.0,12.0,2,1680.0,False,,False,
2024-04-14,Sunday,Chest and arms,FG pushdown,Forward Grip Pushdown,130,130.0,10.0,3,1300.0,False,,False,
2024-04-14,Sunday,Chest and arms,Cybex Lateral,Cybex Lateral Raise,170,170.0,4.0,1,680.0,False,,False,
2024-04-14,Sunday,Chest and arms,Cybex Lateral,Cybex Lateral Raise,150,150.0,7.0,2,1050.0,False,,False,
2024-04-15,Monday,Back,+RDLs,Romanian Deadlift (Paused),410,410.0,6.0,1,2460.0,False,,False,paused
2024-04-15,Monday,Back,+RDLs,Romanian Deadlift (Paused),410,410.0,6.0,2,2460.0,False,,False,paused
2024-04-15,Monday,Back,SWG Pulldown,Supinated Wide Grip Pulldown,130,130.0,10.0,1,1300.0,False,,False,
2024-04-15,Monday,Back,SWG Pulldown,Supinated Wide Grip Pulldown,120,120.0,10.0,2,1200.0,False,,False,
2024-04-15,Monday,Back,Strive row,Strive Row,210,210.0,9.0,1,1890.0,False,,False,
2024-04-15,Monday,Back,Strive row,Strive Row,200,200.0,10.0,2,2000.0,False,,False,
2024-04-16,Tuesday,Bro day,EZ bar curls,EZ Bar Curl,42.5,42.5,5.0,1,212.5,False,,False,
2024-04-16,Tuesday,Bro day,EZ bar curls,EZ Bar Curl,42.5,42.5,5.0,2,212.5,False,,False,
2024-04-16,Tuesday,Bro day,EZ bar curls,EZ Bar Curl,25,25.0,12.0,3,300.0,False,,False,
2024-04-16,Tuesday,Bro day,Natilus pushdown,Nautilus Tricep Pushdown,65,65.0,15.0,1,975.0,False,,False,
2024-04-16,Tuesday,Bro day,Natilus pushdown,Nautilus Tricep Pushdown,58.5,58.5,15.0,2,877.5,False,,False,
2024-04-16,Tuesday,Bro day,+JM press,JM Press (Paused),140,140.0,7.0,1,980.0,False,,False,paused
2024-04-16,Tuesday,Bro day,+JM press,JM Press (Paused),135,135.0,8.0,2,1080.0,False,,False,paused
2024-04-16,Tuesday,Bro day,Upright row,Upright Row,135,135.0,10.0,1,1350.0,False,,False,
2024-04-16,Tuesday,Bro day,Upright row,Upright Row,27.5,27.5,12.0,2,330.0,False,,False,
2024-04-16,Tuesday,Bro day,Rope hammer curls,Rope Hammer Curl,155,155.0,8.0,1,1240.0,False,,False,
2024-04-16,Tuesday,Bro day,Rope hammer curls,Rope Hammer Curl,145,145.0,8.0,2,1160.0,False,,False,
2024-04-16,Tuesday,Bro day,SA HS extension,Hammer Strength Single Arm Extension,30,30.0,20.0,1,600.0,False,,False,
2024-04-17,Wednesday,Upper,+AFS incline smith,AFS Smith Incline Press (Paused),170,170.0,4.0,1,680.0,False,,False,paused
2024-04-17,Wednesday,Upper,+AFS incline smith,AFS Smith Incline Press (Paused),160,160.0,7.0,2,1120.0,False,,False,paused
2024-04-17,Wednesday,Upper,SA Natilus pulldown,Nautilus Single Arm Pulldown,392.5,392.5,5.0,1,1962.5,False,,False,
2024-04-17,Wednesday,Upper,Super ROM Dips,Super ROM Dip,115,115.0,9.0,1,1035.0,False,,False,
2024-04-17,Wednesday,Upper,Super ROM Dips,Super ROM Dip,35,35.0,10.0,2,350.0,False,,False,
2024-04-17,Wednesday,Upper,Super ROM Dips,Super ROM Dip,+15,15.0,10.0,3,150.0,False,,False,
2024-04-17,Wednesday,Upper,SA Cybex eagle row(KG),Cybex Single Arm Eagle Row,248.1,248.1,11.0,1,2729.1,False,,False,
2024-04-17,Wednesday,Upper,SA Cybex eagle row(KG),Cybex Single Arm Eagle Row,250.3,250.3,12.0,2,3003.6000000000004,False,,False,
2024-04-17,Wednesday,Upper,OVH ext,Overhead Extension,235,235.0,9.0,1,2115.0,False,,False,
2024-04-17,Wednesday,Upper,OVH ext,Overhead Extension,+205,205.0,9.0,2,1845.0,False,,False,
2024-04-17,Wednesday,Upper,OVH ext,Overhead Extension,+190,190.0,10.0,3,1900.0,False,,False,
2024-04-17,Wednesday,Upper,OVH ext,Overhead Extension,175,175.0,13.0,4,2275.0,False,,False,
2024-04-17,Wednesday,Upper,Bayesian curls,Bayesian Curl,110,110.0,6.0,1,660.0,False,,False,
2024-04-17,Wednesday,Upper,Bayesian curls,Bayesian Curl,one,,9.0,2,,False,,False,
2024-04-17,Wednesday,Upper,Bayesian curls,Bayesian Curl,100,100.0,12.0,3,1200.0,False,,False,
2024-04-18,Thursday,Legs,Cybex hack,Cybex Hack Squat,385,385.0,3.0,1,1155.0,False,,False,
2024-04-18,Thursday,Legs,BB rows,Barbell Row,245,245.0,7.0,1,1715.0,False,,False,
2024-04-18,Thursday,Legs,BB rows,Barbell Row,235,235.0,7.0,2,1645.0,False,,False,
2024-04-18,Thursday,Legs,Strive Leg extensions,Strive Leg Extension,230,230.0,5.0,1,1150.0,False,,False,
2024-04-18,Thursday,Legs,Strive Leg extensions,Strive Leg Extension,220,220.0,9.0,2,1980.0,False,,False,
2024-04-18,Thursday,Legs,+Seated Leg curls,Seated Leg Curl (Paused),FS+10,,5.0,1,,True,,False,paused
2024-04-18,Thursday,Legs,Icarian Lateral raise,Icarian Lateral Raise,75,75.0,10.0,1,750.0,False,,False,
2024-04-18,Thursday,Legs,Icarian Lateral raise,Icarian Lateral Raise,70,70.0,12.0,2,840.0,False,,False,
2024-04-18,Thursday,Legs,Icarian Lateral raise,Icarian Lateral Raise,65,65.0,11.0,3,715.0,False,,False,
2024-04-20,Saturday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),327.5,327.5,7.0,1,2292.5,False,,False,paused
2024-04-20,Saturday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),317.5,317.5,7.0,2,2222.5,False,,False,paused
2024-04-20,Saturday,Chest and arms,+Panatta Chest press,Panatta Chest Press (Paused),302.5,302.5,7.0,3,2117.5,False,,False,paused
2024-04-20,Saturday,Chest and arms,Cybex preacher curls,Cybex Preacher Curl,75,75.0,7.0,1,525.0,False,,False,
2024-04-20,Saturday,Chest and arms,Cybex preacher curls,Cybex Preacher Curl,65,65.0,8.0,2,520.0,False,,False,
2024-04-20,Saturday,Chest and arms,Cybex preacher curls,Cybex Preacher Curl,60,60.0,7.0,3,420.0,False,,False,
2024-04-20,Saturday,Chest and arms,Flex incline fly,Flex Incline Fly,90,90.0,12.0,1,1080.0,False,,False,
2024-04-20,Saturday,Chest and arms,Flex incline fly,Flex Incline Fly,100,100.0,9.0,2,900.0,False,,False,
2024-04-20,Saturday,Chest and arms,Flex incline fly,Flex Incline Fly,75,75.0,13.0,3,975.0,False,,False,
2024-04-20,Saturday,Chest and arms,Trcp pushdown,Tricep Pushdown,155,155.0,8.0,1,1240.0,False,,False,
2024-04-20,Saturday,Chest and arms,Trcp pushdown,Tricep Pushdown,140,140.0,13.0,2,1820.0,False,,False,
2024-04-20,Saturday,Chest and arms,Trcp pushdown,Tricep Pushdown,130,130.0,11.0,3,1430.0,False,,False,
2024-04-20,Saturday,Chest and arms,Cybex lateral,Cybex Lateral Raise,170,170.0,5.0,1,850.0,False,,False,
2024-04-20,Saturday,Chest and arms,Cybex lateral,Cybex Lateral Raise,155,155.0,5.0,2,775.0,False,,False,
2024-04-20,Saturday,Chest and arms,Cybex lateral,Cybex Lateral Raise,150,150.0,6.0,3,900.0,False,,False,
2024-04-20,Saturday,Chest and arms,EZ skulls,EZ Bar Skull Crusher,20,20.0,12.0,1,240.0,False,,False,
2024-04-20,Saturday,Chest and arms,EZ skulls,EZ Bar Skull Crusher,15,15.0,16.0,2,240.0,False,,False,
2024-04-21,Sunday,Back,+RDLs,Romanian Deadlift (Paused),415,415.0,4.0,1,1660.0,False,,False,paused
2024-04-21,Sunday,Back,+RDLs,Romanian Deadlift (Paused),405,405.0,6.0,2,2430.0,False,,False,paused
2024-04-21,Sunday,Back,SWG Pulldown,Supinated Wide Grip Pulldown,130,130.0,11.0,1,1430.0,False,,False,
2024-04-21,Sunday,Back,SWG Pulldown,Supinated Wide Grip Pulldown,120,120.0,11.0,2,1320.0,False,,False,
2024-04-21,Sunday,Back,Strive row,Strive Row,215,215.0,10.0,1,2150.0,False,,False,
2024-04-21,Sunday,Back,Strive row,Strive Row,205,205.0,10.0,2,2050.0,False,,False,
2024-04-21,Sunday,Back,NG pull,Neutral Grip Pull-up,125,125.0,5.0,1,625.0,False,,False,
2024-04-21,Sunday,Back,NG pull,Neutral Grip Pull-up,10,10.0,7.0,2,70.0,False,,False,
2024-04-21,Sunday,Back,Rear delt fly,Rear Delt Fly,160,160.0,8.0,1,1280.0,False,,False,
2024-04-21,Sunday,Back,Rear delt fly,Rear Delt Fly,150,150.0,8.0,2,1200.0,False,,False,
2024-04-21,Sunday,Back,Rear delt fly,Rear Delt Fly,140,140.0,8.0,3,1120.0,False,,False,
2024-04-22,Monday,Bro day,EZ bar curls,EZ Bar Curl,135,135.0,,1,,False,,False,
2024-04-22,Monday,Bro day,EZ bar curls,EZ Bar Curl,135,135.0,,2,,False,,False,
2024-04-22,Monday,Bro day,EZ bar curls,EZ Bar Curl,37.5,37.5,7.0,3,262.5,False,,False,
2024-04-22,Monday,Bro day,EZ bar curls,EZ Bar Curl,25,25.0,13.0,4,325.0,False,,False,
2024-04-22,Monday,Bro day,Natilus pushdown,Nautilus Tricep Pushdown,65,65.0,16.0,1,1040.0,False,,False,
2024-04-22,Monday,Bro day,Natilus pushdown,Nautilus Tricep Pushdown,57.5,57.5,16.0,2,920.0,False,,False,
2024-04-22,Monday,Bro day,Upright row,Upright Row,135,135.0,11.0,1,1485.0,False,,False,
2024-04-22,Monday,Bro day,Upright row,Upright Row,30,30.0,15.0,2,450.0,False,,False,
2024-04-22,Monday,Bro day,+JM press,JM Press (Paused),142.5,142.5,5.0,1,712.5,False,,False,paused
2024-04-22,Monday,Bro day,+JM press,JM Press (Paused),137.5,137.5,5.0,2,687.5,False,,False,paused
2024-04-22,Monday,Bro day,Rope hammer curls,Rope Hammer Curl,155,155.0,9.0,1,1395.0,False,,False,
2024-04-22,Monday,Bro day,Rope hammer curls,Rope Hammer Curl,145,145.0,8.0,2,1160.0,False,,False,
